赛道,归属,主播昵称,抖音号,抖音UID,主页链接,地域,标签,特殊人设,建联方式
,情义,大话西游2许仙（锤子）,chuichui16616,/,https://www.douyin.com/user/MS4wLjABAAAAOVbXhrKcy-Q0pT96g0oyz2y6QUAT9tGU4qeqxxNXcMSIDPezXt9QJtL1MdevohJP?from_tab_name=main,广东 佛山,赛事|日常,,
,情义,依然如故、,1692829068,/,https://www.douyin.com/user/MS4wLjABAAAAUi2GwQ-o7hRkR2gBESc22Rp_BjABAHFWKJfnnh1zcEI,内蒙古 乌兰察布,日常|颜值|资源,,
,情义,大话西游2水娃娃,dhxyshuiwawa,/,https://www.douyin.com/user/MS4wLjABAAAAV3KZo23K1IT4Ey2TECgEkEw1AvYm1NJzz5J3L_slPzTHXigS50eD9gMy9xat5Jkn,北京 北京,赛事|颜值|其他,,
,情义,大话西游2【免费版】-布衣,buyi555777,/,https://www.douyin.com/user/MS4wLjABAAAAzdCeFXeomSAsB7ekMyFolX-B0Z1H3yJQ-VIDreGIjUlXg3wRZglIvu_AaiI9TuGI,辽宁 大连,不直播,,
,情义,狗哥-2002,fanqie201314,/,https://www.douyin.com/user/MS4wLjABAAAAaoFzJAeHJhPhYGWegeN_MApVFBqkrdwU3J3ePyilhCXdYtdJ4XMlb2nCmNL-xkCl,安徽 黄山,资源|赛事,,
,情义,大话西游2相伴知君,86171542034,/,https://www.douyin.com/user/MS4wLjABAAAAu1Mthc7rQFHKXjk74AA-K8xPwmD0cIKnFVB94P3hp6Q-S33218U4eJd8_ubkjNED,江苏,赛事|其他|日常,,
,情义,伊泽瑞尔。,45444819026,UID7460009126769640505,https://www.douyin.com/user/MS4wLjABAAAAUFxWfGEgBhvHYt46Z4cVgInFwULGy-t4qGG9Pg6o3EQ-g1mfDqGRwtzDBr-_-hd7?from_tab_name=main,海南 三亚,日常|赛事,,
,情义,温暖??,dhxywn,UID3604639034914707,https://v.douyin.com/i5GtygtW/,安徽 淮北,日常|其他,,
,情义,大话怀旧蛋蛋,zhuque33,UID342639065433805,https://v.douyin.com/Np6ZutQHVUY/,河北 沧州,日常|其他,,
"AI,攻略",星河,大话西游2月光宝盒,,,,,,版本,
实拍,情义,苏若颜,yan20250408,/,https://v.douyin.com/Dd4ZisDBXCk/,,颜值,,建联不上
赛事切片,情义,大话西游2花公子,xy2huagongzi,/,https://www.douyin.com/user/MS4wLjABAAAA0iElQyu1HLOjABfVdKxkCZoLp-hl8P80d3xUT-abLU0,河南 安阳,赛事,,
赛事切片,情义,大话西游2修缘,ZZ718310,/,https://www.douyin.com/user/MS4wLjABAAAAZSizHK_FugVPImy7L6hovFebUbiNi76yTdlPLkTnOxI?from_tab_name=main,青海 格尔木,资源|赛事,,
赛事切片,情义,大话西游2小优,xiaoyou543210,/,https://www.douyin.com/user/MS4wLjABAAAAczbnZOxNC3PvYbk7SekAiKQJEDFBPOZ-LR8fUC6RBkQ,海南 陵水黎族自治县,赛事|资源,,
赛事切片,情义,大话西游2阿木花驴,yelv668899,/,https://www.douyin.com/user/MS4wLjABAAAA8zS7Ffh77h2TBDVpKggj4EK56Tkzw7VuzAQUzidwfwW552ruzMag7pRg0yuyAQXh,河北 沧州,赛事|日常,,
赛事切片,情义,大话西游2无名大兄弟,wumingtainan,/,https://www.douyin.com/user/MS4wLjABAAAApB_9VW2_y0B0OJbHkc48ZskzR735YGxMRqGttZqoDi2xQcgjUVxJTrEgsN4p8HfT,河北 保定,赛事|日常|资源,,
实拍,情义,阿海（大话反向帝）,SDJ58666,/,https://www.douyin.com/user/MS4wLjABAAAAJNATp1bGvKNRzMhF6JykSA8Nmf9OBbWSKN58tmqM5_c?from_tab_name=main,陕西 西安,赛事|实拍,,
实拍,情义,一休（大话阿海兄弟）,dhas666,/,https://www.douyin.com/user/MS4wLjABAAAARM_kn19FauIQBYqIBJrkpYf2WRg5bK4Isp0bWTzfkI2A6IlFCxQ73DCQ3ZERurhl,陕西 西安,实拍,,
实拍,情义,小明（大话阿海助理）,1714879710,/,https://www.douyin.com/user/MS4wLjABAAAAZmeVmo5XQM7YmB8SxZB__pYJjKbvzw7zO4-zwF_YtLk,陕西 西安,实拍,,
,情义,大话老秦,146168078,UID60585796844,https://v.douyin.com/Ky4XvkmRODk/,河北 邢台,"副本|日常|装备搭配
调号",,
,情义,大话2绝言。,Wxb19960101,UID2484530009877250,https://v.douyin.com/TBPRAWobveE/,吉林 松原,杀星|副本|日常,,
,情义,大话西游_肉丸子,40624368131,UID1715714518170470,https://v.douyin.com/6IUhnUon8B8/,陕西 西安,高装搭配|日常困难|游戏更新内容解说|高装的玩法,,
,情义,大话2世生,shisheng_dh2,UID1689269550193070,https://v.douyin.com/sXll1qevY_A/,湖北 武汉,装备搭配  帮战 日常,,
,情义,大话西游2鲲鹏,Kp521521,UID111194364960,https://v.douyin.com/gRI913sbVaQ/,北京 北京,杀星、装备搭配、天梯、帮战、PK、几率、比斗、任务,,
,情义,大话西游2小辣椒,9420zhq,UID2364404634753560,https://v.douyin.com/SGOEi2qBgRQ/,浙江 绍兴,日常|副本|几率|帮战|比斗,,
,情义,大话西游2怀旧阿毛,Lm_188888,UID2656837043764830,https://v.douyin.com/5vgE7aDBpvM/,内蒙古 呼和浩特,几率,,
,情义,乔姐,164537368,UID75771670640,https://v.douyin.com/Hxbi4bFKNXw/,山西 晋中,,,
,情义,唐小圣,43119452720,UID1341830296246860,https://v.douyin.com/TVyKMw-bmyw/,河北 石家庄,全能,,
,情义,抖音二狗,O66666999996699,UID3597225351982500,https://v.douyin.com/jgyl7sobpGU/,河北 衡水,PK|日常|天梯|比斗|任务|副本,,
,情义,大话西游怀旧小张,1079827321,UID100574251661,https://v.douyin.com/eRt1GqfR7bI/,贵州 兴义,装备搭配|任务|各种讲解|资深玩家,,
,情义,陌上,30312904,UID62653721252,https://v.douyin.com/29j8KLjhQ5o/,山西 大同,PK|装备搭配|日常|副本,,
,情义,吹牛阿浪,35356907214,UID3666237166979124,https://v.douyin.com/LUMOa_et9DI/,广西 南宁,天梯|PK|装备搭配,,
,情义,霸道666,badao_99999,UID98863713928,https://v.douyin.com/BlhL3kN1yF8/,内蒙古 呼和浩特,全能,,
